round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
1,Premier League,Arsenal vs Leicester City,8/11/2017,Arsenal,Leicester City,4,3
1,Premier League,Bournemouth vs Manchester City,8/12/2017,Bournemouth,Manchester City,0,2
1,Premier League,Chelsea vs Burnley,8/12/2017,Chelsea,Burnley,2,3
1,Premier League,Crystal Palace vs Huddersfield Town,8/12/2017,Crystal Palace,Huddersfield Town,0,3
1,Premier League,Everton vs Stoke City,8/12/2017,Everton,Stoke City,1,0
1,Premier League,Manchester United vs West Ham United,8/13/2017,Manchester United,West Ham United,4,0
1,Premier League,Southampton vs Swansea City,8/12/2017,Southampton,Swansea City,0,0
1,Premier League,Watford vs Liverpool,8/12/2017,Watford,Liverpool,3,3
1,Premier League,Brighton & Hove Albion vs Manchester City,8/12/2017,Brighton & Hove Albion,Manchester City,0,2
1,Premier League,Newcastle United vs Tottenham Hotspur,8/13/2017,Newcastle United,Tottenham Hotspur,2,1
2,Premier League,Bournemouth vs Watford,8/19/2017,Bournemouth,Watford,0,2
2,Premier League,Burnley vs West Bromwich Albion,8/19/2017,Burnley,West Bromwich Albion,1,0
2,Premier League,Chelsea vs Everton,8/20/2017,Chelsea,Everton,2,0
2,Premier League,Leicester City vs Brighton & Hove Albion,8/19/2017,Leicester City,Brighton & Hove Albion,2,0
2,Premier League,Manchester United vs Swansea City,8/19/2017,Manchester United,Swansea City,4,0
2,Premier League,Southampton vs West Ham United,8/19/2017,Southampton,West Ham United,3,2
2,Premier League,Stoke City vs Arsenal,8/19/2017,Stoke City,Arsenal,1,0
2,Premier League,Watford vs Burnley,8/19/2017,Watford,Burnley,3,1
2,Premier League,West Bromwich Albion vs Liverpool,8/19/2017,West Bromwich Albion,Liverpool,1,1
2,Premier League,Tottenham Hotspur vs Crystal Palace,8/19/2017,Tottenham Hotspur,Crystal Palace,1,0
3,Premier League,Brighton & Hove Albion vs West Bromwich Albion,8/25/2017,Brighton & Hove Albion,West Bromwich Albion,3,1
3,Premier League,Burnley vs Liverpool,8/26/2017,Burnley,Liverpool,1,1
3,Premier League,Chelsea vs Leicester City,8/26/2017,Chelsea,Leicester City,2,1
3,Premier League,Crystal Palace vs Swansea City,8/26/2017,Crystal Palace,Swansea City,0,2
3,Premier League,Everton vs Manchester City,8/21/2017,Everton,Manchester City,0,2
3,Premier League,Huddersfield Town vs Southampton,8/26/2017,Huddersfield Town,Southampton,0,0
3,Premier League,Manchester United vs Leicester City,8/26/2017,Manchester United,Leicester City,2,0
3,Premier League,Newcastle United vs West Ham United,8/26/2017,Newcastle United,West Ham United,3,0
3,Premier League,Stoke City vs Arsenal,8/26/2017,Stoke City,Arsenal,1,0
3,Premier League,Watford vs Chelsea,8/26/2017,Watford,Chelsea,2,2
4,Premier League,Arsenal vs Bournemouth,9/9/2017,Arsenal,Bournemouth,3,0
4,Premier League,Brighton & Hove Albion vs Newcastle United,9/9/2017,Brighton & Hove Albion,Newcastle United,1,0
4,Premier League,Burnley vs Huddersfield Town,9/9/2017,Burnley,Huddersfield Town,2,0
4,Premier League,Chelsea vs Leicester City,9/9/2017,Chelsea,Leicester City,4,0
4,Premier League,Crystal Palace vs Southampton,9/9/2017,Crystal Palace,Southampton,1,1
4,Premier League,Everton vs Manchester United,9/9/2017,Everton,Manchester United,0,4
4,Premier League,Huddersfield Town vs Swansea City,9/9/2017,Huddersfield Town,Swansea City,1,1
4,Premier League,Manchester City vs Watford,9/9/2017,Manchester City,Watford,6,0
