round_number,league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
1,Premier League,Manchester United vs Leicester City,8/10/2018,Manchester United,Leicester City,2,1
1,Premier League,Newcastle United vs Tottenham Hotspur,8/11/2018,Newcastle United,Tottenham Hotspur,1,2
1,Premier League,Bournemouth vs Cardiff City,8/11/2018,Bournemouth,Cardiff City,2,0
1,Premier League,Fulham vs Crystal Palace,8/11/2018,Fulham,Crystal Palace,0,2
1,Premier League,Huddersfield Town vs Chelsea,8/11/2018,Huddersfield Town,Chelsea,0,3
1,Premier League,Watford vs Brighton & Hove Albion,8/11/2018,Watford,Brighton & Hove Albion,2,0
1,Premier League,Southampton vs Burnley,8/12/2018,Southampton,Burnley,0,0
1,Premier League,Everton vs Wolverhampton Wanderers,8/12/2018,Everton,Wolverhampton Wanderers,2,2
1,Premier League,Arsenal vs Manchester City,8/12/2018,Arsenal,Manchester City,0,2
1,Premier League,Leicester City vs Wolverhampton Wanderers,8/12/2018,Leicester City,Wolverhampton Wanderers,1,2
2,Premier League,Manchester City vs Huddersfield Town,8/19/2018,Manchester City,Huddersfield Town,6,1
2,Premier League,Southampton vs Liverpool,8/19/2018,Southampton,Liverpool,0,2
2,Premier League,Cardiff City vs Newcastle United,8/19/2018,Cardiff City,Newcastle United,0,0
2,Premier League,Watford vs Burnley,8/19/2018,Watford,Burnley,3,1
2,Premier League,Fulham vs Tottenham Hotspur,8/19/2018,Fulham,Tottenham Hotspur,1,2
2,Premier League,Everton vs Southampton,8/19/2018,Everton,Southampton,2,1
2,Premier League,Bournemouth vs Chelsea,8/19/2018,Bournemouth,Chelsea,0,2
2,Premier League,Leicester City vs Wolverhampton Wanderers,8/19/2018,Leicester City,Wolverhampton Wanderers,2,0
2,Premier League,Arsenal vs West Ham United,8/19/2018,Arsenal,West Ham United,3,1
2,Premier League,Manchester United vs Brighton & Hove Albion,8/19/2018,Manchester United,Brighton & Hove Albion,3,2
3,Premier League,Wolverhampton Wanderers vs Manchester City,8/25/2018,Wolverhampton Wanderers,Manchester City,1,1
3,Premier League,Southampton vs Leicester City,8/25/2018,Southampton,Leicester City,1,2
3,Premier League,Cardiff City vs Arsenal,8/26/2018,Cardiff City,Arsenal,2,3
3,Premier League,West Ham United vs Bournemouth,8/26/2018,West Ham United,Bournemouth,1,2
3,Premier League,Tottenham Hotspur vs Fulham,8/26/2018,Tottenham Hotspur,Fulham,3,1
3,Premier League,Newcastle United vs Chelsea,8/26/2018,Newcastle United,Chelsea,1,2
3,Premier League,Everton vs Huddersfield Town,8/26/2018,Everton,Huddersfield Town,2,0
3,Premier League,Leicester City vs Liverpool,8/26/2018,Leicester City,Liverpool,1,2
3,Premier League,Burnley vs Manchester United,8/26/2018,Burnley,Manchester United,0,2
3,Premier League,Brighton & Hove Albion vs Watford,8/26/2018,Brighton & Hove Albion,Watford,0,2
4,Premier League,Tottenham Hotspur vs Liverpool,9/15/2018,Tottenham Hotspur,Liverpool,1,2
4,Premier League,Cardiff City vs Chelsea,9/15/2018,Cardiff City,Chelsea,1,4
4,Premier League,Southampton vs Brighton & Hove Albion,9/15/2018,Southampton,Brighton & Hove Albion,2,2
4,Premier League,Everton vs Huddersfield Town,9/15/2018,Everton,Huddersfield Town,2,1
4,Premier League,Fulham vs Watford,9/15/2018,Fulham,Watford,1,1
4,Premier League,Bournemouth vs Leicester City,9/15/2018,Bournemouth,Leicester City,4,2
4,Premier League,Arsenal vs Cardiff City,9/15/2018,Arsenal,Cardiff City,3,2
4,Premier League,Manchester United vs Burnley,9/15/2018,Manchester United,Burnley,2,0
4,Premier League,West Ham United vs Everton,9/16/2018,West Ham United,Everton,1,3
4,Premier League,Newcastle United vs Arsenal,9/16/2018,Newcastle United,Arsenal,1,2
5,Premier League,Tottenham Hotspur vs Brighton & Hove Albion,9/22/2018,Tottenham Hotspur,Brighton & Hove Albion,2,1
5,Premier League,Cardiff City vs Burnley,9/22/2018,Cardiff City,Burnley,2,1
5,Premier League,Southampton vs Chelsea,9/22/2018,Southampton,Chelsea,0,3
5,Premier League,Everton vs West Ham United,9/22/2018,Everton,West Ham United,1,3
5,Premier League,Fulham vs Watford,9/22/2018,Fulham,Watford,1,1
5,Premier League,Bournemouth vs Leicester City,9/22/2018,Bournemouth,Leicester City,4,2
5,Premier League,Arsenal vs Everton,9/22/2018,Arsenal,Everton,2,0
5,Premier League,Manchester United vs Wolverhampton Wanderers,9/22/2018,Manchester United,Wolverhampton Wanderers,1,1
5,Premier League,Newcastle United vs Cardiff City,9/22/2018,Newcastle United,Cardiff City,0,0
5,Premier League,Watford vs Manchester City,9/22/2018,Watford,Manchester City,1,2
6,Premier League,Manchester United vs Watford,9/29/2018,Manchester United,Watford,2,1
6,Premier League,Fulham vs Manchester City,9/29/2018,Fulham,Manchester City,0,3
